Word,Negative,Positive
DEFICITS,2009,0
DEFRAUD,2009,0
DEFRAUDED,2009,0
DEFRAUDING,2009,0
DEFRAUDS,2009,0
DEFUNCT,2009,0
DEGRADATION,2009,0
DEGRADATIONS,2009,0
DEGRADE,2009,0
DEGRADED,2009,0
DEGRADES,2009,0
DEGRADING,2009,0
DELAY,2009,0
DELAYED,2009,0
DELAYING,2009,0
DELAYS,2009,0
DELETERIOUS,2009,0
DELIBERATE,2009,0
DELIBERATED,2009,0
DELIBERATELY,2009,0
DELIGHT,0,2009
DELIGHTED,0,2009
DELIGHTFUL,0,2009
DELIGHTFULLY,0,2009
DELIGHTING,0,2009
DELIGHTS,0,2009
DELINQUENCIES,2009,0
DELINQUENCY,2009,0
DELINQUENT,2009,0
DELINQUENTLY,2009,0
DELINQUENTS,2009,0
DELIST,2009,0
DELISTED,2009,0
DELISTING,2009,0
DELISTS,2011,0
DEMISE,2009,0
DEMISED,2009,0
DEMISES,2009,0
DEMISING,2009,0
DEMOLISH,2009,0
DEMOLISHED,2009,0
DEMOLISHES,2009,0
DEMOLISHING,2009,0
DEMOLITION,2009,0
DEMOLITIONS,2009,0
DEMOTE,2009,0
DEMOTED,2009,0
DEMOTES,2009,0
DEMOTING,2009,0
DEMOTION,2009,0
DEMOTIONS,2009,0
DENIAL,2009,0
DENIALS,2009,0
DENIED,2009,0
DENIES,2009,0
DENIGRATE,2009,0
DENIGRATED,2009,0
DENIGRATES,2009,0
DENIGRATING,2009,0
DENIGRATION,2009,0
DENY,2009,0
DENYING,2009,0
DEPENDABILITY,0,2009
DEPENDABLE,0,2009
DEPLETE,2009,0
DEPLETED,2009,0
DEPLETES,2009,0
DEPLETING,2009,0
DEPLETION,2009,0
DEPLETIONS,2009,0
DEPRECATION,2009,0
DEPRESS,2009,0
DEPRESSED,2009,0
DEPRESSES,2009,0
DEPRESSING,2009,0
DEPRIVATION,2009,0
DEPRIVE,2009,0
DEPRIVED,2009,0
DEPRIVES,2009,0
DEPRIVING,2009,0
DERELICT,2009,0
DERELICTION,2009,0
DEROGATORY,2009,0
DESIRABLE,0,2009
DESIRED,0,2009
DESPITE,0,2009
DESTABILIZATION,2009,0
DESTABILIZE,2009,0
DESTABILIZED,2009,0
DESTABILIZING,2009,0
DESTINED,0,2009
DESTROY,2009,0
DESTROYED,2009,0
DESTROYING,2009,0
DESTROYS,2009,0
DESTRUCTION,2009,0
DESTRUCTIVE,2009,0
DETAIN,2009,0
DETAINED,2009,0
DETENTION,2009,0
DETENTIONS,2009,0
DETER,2009,0
DETERIORATE,2009,0
DETERIORATED,2009,0
DETERIORATES,2009,0
DETERIORATING,2009,0
DETERIORATION,2009,0
DETERIORATIONS,2009,0
DETERRED,2009,0
DETERRENCE,2009,0
DETERRENCES,2009,0
DETERRENT,2009,0
DETERRENTS,2009,0
DETERRING,2009,0
DETERS,2009,0
DETRACT,2009,0
DETRACTED,2009,0
DETRACTING,2009,0
DETRIMENT,2009,0
DETRIMENTAL,2009,0
DETRIMENTALLY,2009,0
DETRIMENTS,2009,0
DEVALUE,2009,0
DEVALUED,2009,0
DEVALUES,2009,0
DEVALUING,2009,0
DEVASTATE,2009,0
DEVASTATED,2009,0
DEVASTATING,2009,0
DEVASTATION,2009,0
DEVIATE,2009,0
DEVIATED,2009,0
DEVIATES,2009,0
DEVIATING,2009,0
DEVIATION,2009,0
DEVIATIONS,2009,0
DEVOLVE,2009,0
DEVOLVED,2009,0
DEVOLVES,2009,0
DEVOLVING,2009,0
DIFFICULT,2009,0
DIFFICULTIES,2009,0
DIFFICULTLY,2009,0
DIFFICULTY,2009,0
DILIGENT,0,2009
DILIGENTLY,0,2009
DIMINISH,2009,0
DIMINISHED,2009,0
DIMINISHES,2009,0
DIMINISHING,2009,0
DIMINUTION,2009,0
DISADVANTAGE,2009,0
DISADVANTAGED,2009,0
DISADVANTAGEOUS,2009,0
DISADVANTAGES,2009,0
DISAFFILIATION,2009,0
DISAGREE,2009,0
DISAGREEABLE,2009,0
DISAGREED,2009,0
DISAGREEING,2009,0
DISAGREEMENT,2009,0
DISAGREEMENTS,2009,0
DISAGREES,2009,0
DISALLOW,2009,0
DISALLOWANCE,2009,0
DISALLOWANCES,2009,0
DISALLOWED,2009,0
DISALLOWING,2009,0
DISALLOWS,2009,0
DISAPPEAR,2009,0
DISAPPEARANCE,2009,0
DISAPPEARANCES,2009,0
DISAPPEARED,2009,0
DISAPPEARING,2009,0
DISAPPEARS,2009,0
DISAPPOINT,2009,0
DISAPPOINTED,2009,0
DISAPPOINTING,2009,0
DISAPPOINTINGLY,2009,0
DISAPPOINTMENT,2009,0
DISAPPOINTMENTS,2009,0
DISAPPOINTS,2009,0
DISAPPROVAL,2009,0
DISAPPROVALS,2009,0
DISAPPROVE,2009,0
DISAPPROVED,2009,0
DISAPPROVES,2009,0
DISAPPROVING,2009,0
DISASSOCIATES,2009,0
DISASSOCIATING,2009,0
DISASSOCIATION,2009,0
DISASSOCIATIONS,2009,0
DISASTER,2009,0
DISASTERS,2009,0
DISASTROUS,2009,0
DISASTROUSLY,2009,0
DISAVOW,2009,0
DISAVOWAL,2009,0
DISAVOWED,2009,0
DISAVOWING,2009,0
DISAVOWS,2009,0
DISCIPLINARY,2009,0
DISCLAIM,2009,0
DISCLAIMED,2009,0
DISCLAIMER,2009,0
DISCLAIMERS,2009,0
DISCLAIMING,2009,0
DISCLAIMS,2009,0
DISCLOSE,2009,0
DISCLOSED,2009,0
DISCLOSES,2009,0
DISCLOSING,2009,0
DISCONTINUANCE,2009,0
DISCONTINUANCES,2009,0
DISCONTINUATION,2009,0
DISCONTINUATIONS,2009,0
DISCONTINUE,2009,0
DISCONTINUED,2009,0
DISCONTINUES,2009,0
DISCONTINUING,2009,0
DISCOURAGE,2009,0
DISCOURAGED,2009,0
DISCOURAGES,2009,0
DISCOURAGING,2009,0
DISCREDIT,2009,0
DISCREDITED,2009,0
DISCREDITING,2009,0
DISCREDITS,2009,0
DISCREPANCIES,2009,0
DISCREPANCY,2009,0
DISFAVOR,2009,0
DISFAVORED,2009,0
DISFAVORING,2009,0
DISFAVORS,2009,0
DISGORGE,2009,0
DISGORGED,2009,0
DISGORGEMENT,2009,0
DISGORGEMENTS,2009,0
DISGORGES,2009,0
DISGORGING,2009,0
DISGRACE,2009,0
DISGRACEFUL,2009,0
DISGRACEFULLY,2009,0
DISHONEST,2009,0
DISHONESTLY,2009,0
DISHONESTY,2009,0
DISHONOR,2009,0
DISHONORABLE,2009,0
DISHONORABLY,2009,0
DISHONORED,2009,0
DISHONORING,2009,0
DISHONORS,2009,0
DISINCENTIVES,2009,0
DISINTERESTED,2009,0
DISINTERESTEDLY,2009,0
DISINTERESTEDNESS,2009,0
DISLOYAL,2009,0
DISLOYALLY,2009,0
DISLOYALTY,2009,0
DISMAL,2009,0
DISMALLY,2009,0
DISMISS,2009,0
DISMISSAL,2009,0
DISMISSALS,2009,0
DISMISSED,2009,0
DISMISSES,2009,0
DISMISSING,2009,0
DISORDERLY,2009,0
DISPARAGE,2009,0
DISPARAGED,2009,0
DISPARAGEMENT,2009,0
DISPARAGEMENTS,2009,0
DISPARAGES,2009,0
DISPARAGING,2009,0
DISPARAGINGLY,2009,0
DISPARITIES,2009,0
DISPARITY,2009,0
DISPLACE,2009,0
DISPLACED,2009,0
DISPLACEMENT,2009,0
DISPLACEMENTS,2009,0
DISPLACES,2009,0
DISPLACING,2009,0
DISPOSE,2009,0
DISPOSSESS,2009,0
DISPOSSESSED,2009,0
DISPOSSESSES,2009,0
DISPOSSESSING,2009,0
DISPROPORTION,2009,0
DISPROPORTIONAL,2009,0
DISPROPORTIONATE,2009,0
DISPROPORTIONATELY,2009,0
DISPUTE,2009,0
DISPUTED,2009,0
DISPUTES,2009,0
DISPUTING,2009,0
DISQUALIFICATION,2009,0
DISQUALIFICATIONS,2009,0
DISQUALIFIED,2009,0
DISQUALIFIES,2009,0
DISQUALIFY,2009,0
DISQUALIFYING,2009,0
DISREGARD,2009,0
DISREGARDED,2009,0
DISREGARDING,2009,0
DISREGARDS,2009,0
DISREPUTABLE,2009,0
DISREPUTE,2009,0
DISRUPT,2009,0
DISRUPTED,2009,0
DISRUPTING,2009,0
DISRUPTION,2009,0
DISRUPTIONS,2009,0
DISRUPTIVE,2009,0
DISRUPTS,2009,0
DISSATISFACTION,2009,0
DISSATISFIED,2009,0
DISSENT,2009,0
DISSENTED,2009,0
DISSENTER,2009,0
DISSENTERS,2009,0
DISSENTING,2009,0
DISSENTS,2009,0
DISSIDENT,2009,0
DISSIDENTS,2009,0
DISSOLUTION,2009,0
DISSOLUTIONS,2009,0
DISTINCTION,0,2009
DISTINCTIONS,0,2009
DISTINCTIVE,0,2009
DISTINCTIVELY,0,2009
DISTINCTIVENESS,0,2009
DISTORT,2009,0
DISTORTED,2009,0
DISTORTING,2009,0
DISTORTION,2009,0
DISTORTIONS,2009,0
DISTORTS,2009,0
DISTRACT,2009,0
DISTRACTED,2009,0
DISTRACTING,2009,0
DISTRACTION,2009,0
DISTRACTIONS,2009,0
DISTRACTS,2009,0
DISTRESS,2009,0
DISTRESSED,2009,0
DISTURB,2009,0
DISTURBANCE,2009,0
DISTURBANCES,2009,0
DISTURBED,2009,0
DISTURBING,2009,0
DISTURBS,2009,0
DIVERSION,2009,0
DIVERT,2009,0
DIVERTED,2009,0
DIVERTING,2009,0
DIVERTS,2009,0
DIVEST,2009,0
DIVESTED,2009,0
DIVESTING,2009,0
DIVESTITURE,2009,0
DIVESTITURES,2009,0
DIVESTMENT,2009,0
DIVESTMENTS,2009,0
DIVESTS,2009,0
DIVORCE,2009,0
DIVORCED,2009,0
DIVULGE,2009,0
DIVULGED,2009,0
DIVULGES,2009,0
DIVULGING,2009,0
DOUBT,2009,0
DOUBTED,2009,0
DOUBTFUL,2009,0
DOUBTS,2009,0
DOWNGRADE,2009,0
DOWNGRADED,2009,0
DOWNGRADES,2009,0
DOWNGRADING,2009,0
DOWNSIZE,2009,0
DOWNSIZED,2009,0
DOWNSIZES,2009,0
DOWNSIZING,2009,0
DOWNSIZINGS,2009,0
DOWNTIME,2009,0
DOWNTIMES,2009,0
DOWNTURN,2009,0
DOWNTURNS,2009,0
DOWNWARD,2009,0
DOWNWARDS,2009,0
DRAG,2009,0
DRASTIC,2009,0
DRASTICALLY,2009,0
DRAWBACK,2009,0
DRAWBACKS,2009,0
DREAM,0,2009
DROPPED,2009,0
DROUGHT,2009,0
DROUGHTS,2009,0
DURESS,2009,0
DYSFUNCTION,2009,0
DYSFUNCTIONAL,2009,0
DYSFUNCTIONS,2009,0
EASIER,0,2009
EASILY,0,2009
EASING,2009,0
EASY,0,2009
EFFECTIVE,0,2009
EFFICIENCIES,0,2009
EFFICIENCY,0,2009
EFFICIENT,0,2009
EFFICIENTLY,0,2009
EGREGIOUS,2009,0
EGREGIOUSLY,2009,0
EMBARGO,2009,0
EMBARGOED,2009,0
EMBARGOES,2009,0
EMBARGOING,2009,0
EMBARRASS,2009,0
EMBARRASSED,2009,0
EMBARRASSES,2009,0
EMBARRASSING,2009,0
EMBARRASSMENT,2009,0
EMBARRASSMENTS,2009,0
EMBEZZLE,2009,0
EMBEZZLED,2009,0
EMBEZZLEMENT,2009,0
EMBEZZLEMENTS,2009,0
EMBEZZLER,2009,0
EMBEZZLES,2009,0
EMBEZZLING,2009,0
EMPOWER,0,2009
EMPOWERED,0,2009
EMPOWERING,0,2009
EMPOWERS,0,2009
ENABLE,0,2009
ENABLED,0,2009
ENABLES,0,2009
ENABLING,0,2009
ENCOURAGED,0,2009
ENCOURAGEMENT,0,2009
ENCOURAGES,0,2009
ENCOURAGING,0,2009
ENCROACH,2009,0
ENCROACHED,2009,0
ENCROACHES,2009,0
ENCROACHING,2009,0
ENCROACHMENT,2009,0
ENCROACHMENTS,2009,0
ENCUMBER,2009,0
ENCUMBERED,2009,0
ENCUMBERING,2009,0
ENCUMBERS,2009,0
ENCUMBRANCE,2009,0
ENCUMBRANCES,2009,0
ENDANGER,2009,0
ENDANGERED,2009,0
ENDANGERING,2009,0
ENDANGERMENT,2009,0
ENDANGERS,2009,0
ENHANCE,0,2009
ENHANCED,0,2009
ENHANCEMENT,0,2009
ENHANCEMENTS,0,2009
ENHANCES,0,2009
ENHANCING,0,2009
ENJOIN,2009,0
ENJOINED,2009,0
ENJOINING,2009,0
ENJOINS,2009,0
ENJOY,0,2009
ENJOYABLE,0,2009
ENJOYABLY,0,2009
ENJOYED,0,2009
ENJOYING,0,2009
ENJOYMENT,0,2009
ENJOYS,0,2009
ENTHUSIASM,0,2009
ENTHUSIASTIC,0,2009
ENTHUSIASTICALLY,0,2009
ERODE,2009,0
ERODED,2009,0
ERODES,2009,0
ERODING,2009,0
EROSION,2009,0
ERRATIC,2009,0
ERRATICALLY,2009,0
ERRED,2009,0
